family,L,M,N,K,p,shots,fails,wer,seconds
toric_surface_mwpm_erasure_aware,36,36,2592,2,0.38,200000,11,5.5e-05,926.8311996459961
toric_surface_mwpm_erasure_aware,36,36,2592,2,0.42,200000,536,0.00268,992.7284464836121
toric_surface_mwpm_erasure_aware,36,36,2592,2,0.46,200000,20187,0.100935,1354.505580663681
toric_surface_mwpm_erasure_aware,36,36,2592,2,0.458,200000,17446,0.08723,1333.4028780460358
toric_surface_mwpm_erasure_aware,36,36,2592,2,0.4599,200000,20048,0.10024,1352.6804440021515
toric_surface_mwpm_erasure_aware,36,36,2592,2,0.459805,200000,20062,0.10031,1350.538225889206
toric_surface_mwpm_erasure_aware,36,36,2592,2,0.45971475,200000,19762,0.09881,1379.818021774292
