family,L,M,N,p,shots,fails,wer,seconds,channel_model,depolar_rate,delta_eps_ratio
bivariate_bicycle,36,18,1296,0.1575,50000,4355,0.0871,1017.241,mixed,0.04725,0.3
bivariate_bicycle,36,18,1296,0.15875,50000,4601,0.09202,1105.36,mixed,0.047625,0.3
bivariate_bicycle,36,18,1296,0.159375,50000,4851,0.09702,1397.745,mixed,0.0478125,0.3
bivariate_bicycle,36,18,1296,0.1596875,50000,5070,0.1014,1082.392,mixed,0.04790625,0.3
bivariate_bicycle,36,18,1296,0.05,10000,52,0.0052,27.654,mixed,0.025,0.5
bivariate_bicycle,36,18,1296,0.07,10000,128,0.0128,45.935,mixed,0.035,0.5
bivariate_bicycle,36,18,1296,0.09,10000,268,0.0268,82.926,mixed,0.045,0.5
bivariate_bicycle,36,18,1296,0.11,10000,674,0.0674,165.389,mixed,0.055,0.5
bivariate_bicycle,36,18,1296,0.13,10000,3603,0.3603,290.822,mixed,0.065,0.5
bivariate_bicycle,36,18,1296,0.12,50000,5849,0.11698,1100.541,mixed,0.06,0.5
bivariate_bicycle,36,18,1296,0.115,50000,3818,0.07636,961.832,mixed,0.0575,0.5
bivariate_bicycle,36,18,1296,0.1175,50000,6322,0.12644,1043.282,mixed,0.05875,0.5
bivariate_bicycle,36,18,1296,0.11625,50000,4060,0.0812,982.79,mixed,0.058125,0.5
bivariate_bicycle,36,18,1296,0.116875,50000,4299,0.08598,1006.88,mixed,0.0584375,0.5
bivariate_bicycle,36,18,1296,0.1171875,50000,4469,0.08938,1044.915,mixed,0.05859375,0.5
bivariate_bicycle,36,18,1296,0.05,10000,112,0.0112,43.553,mixed,0.0375,0.75
bivariate_bicycle,36,18,1296,0.07,10000,264,0.0264,95.864,mixed,0.0525,0.75
bivariate_bicycle,36,18,1296,0.09,10000,1107,0.1107,213.586,mixed,0.0675,0.75
bivariate_bicycle,36,18,1296,0.08,50000,2266,0.04532,723.806,mixed,0.06,0.75
bivariate_bicycle,36,18,1296,0.085,50000,3089,0.06178,886.613,mixed,0.06375,0.75
bivariate_bicycle,36,18,1296,0.0875,50000,4063,0.08126,974.557,mixed,0.065625,0.75
bivariate_bicycle,36,18,1296,0.08875,50000,4602,0.09204,1016.548,mixed,0.0665625,0.75
bivariate_bicycle,36,18,1296,0.089375,50000,4830,0.0966,1041.076,mixed,0.06703125,0.75
bivariate_bicycle,36,18,1296,0.0896875,50000,7065,0.1413,1075.208,mixed,0.067265625,0.75
bivariate_bicycle,36,18,1296,0.05,10000,215,0.0215,73.153,mixed,0.05,1.0
bivariate_bicycle,36,18,1296,0.07,10000,778,0.0778,192.105,mixed,0.07,1.0
bivariate_bicycle,36,18,1296,0.09,10000,7338,0.7338,389.863,mixed,0.09,1.0
bivariate_bicycle,36,18,1296,0.08,50000,15126,0.30252,1443.977,mixed,0.08,1.0
bivariate_bicycle,36,18,1296,0.075,50000,10203,0.20406,1211.657,mixed,0.075,1.0
bivariate_bicycle,36,18,1296,0.0725,50000,5380,0.1076,1068.12,mixed,0.0725,1.0
bivariate_bicycle,36,18,1296,0.07125,50000,4528,0.09056,1014.305,mixed,0.07125,1.0
bivariate_bicycle,36,18,1296,0.071875,50000,4891,0.09782,1036.04,mixed,0.071875,1.0
bivariate_bicycle,36,18,1296,0.0721875,50000,5262,0.10524,1054.181,mixed,0.0721875,1.0
bivariate_bicycle,36,18,1296,0.05,10000,0,0.0,19.885,mixed,0.0025,0.05
bivariate_bicycle,36,18,1296,0.07,10000,3,0.0003,22.957,mixed,0.0035,0.05
bivariate_bicycle,36,18,1296,0.09,10000,7,0.0007,25.086,mixed,0.0045,0.05
bivariate_bicycle,36,18,1296,0.11,10000,13,0.0013,24.835,mixed,0.0055,0.05
bivariate_bicycle,36,18,1296,0.13,10000,14,0.0014,29.013,mixed,0.0065,0.05
bivariate_bicycle,36,18,1296,0.15,10000,21,0.0021,35.113,mixed,0.0075,0.05
bivariate_bicycle,36,18,1296,0.17,10000,53,0.0053,47.097,mixed,0.0085,0.05
bivariate_bicycle,36,18,1296,0.19,10000,50,0.005,62.07,mixed,0.0095,0.05
bivariate_bicycle,36,18,1296,0.21,10000,85,0.0085,86.154,mixed,0.0105,0.05
bivariate_bicycle,36,18,1296,0.23,10000,130,0.013,124.374,mixed,0.0115,0.05
bivariate_bicycle,36,18,1296,0.25,10000,219,0.0219,177.86,mixed,0.0125,0.05
bivariate_bicycle,36,18,1296,0.27,10000,608,0.0608,267.209,mixed,0.0135,0.05
bivariate_bicycle,36,18,1296,0.29,10000,810,0.081,382.06,mixed,0.0145,0.05
bivariate_bicycle,36,18,1296,0.31,10000,2745,0.2745,533.984,mixed,0.0155,0.05
bivariate_bicycle,36,18,1296,0.291963824,50000,7583,0.15166,2016.662,mixed,0.014598191,0.05
bivariate_bicycle,36,18,1296,0.290528059,50000,7189,0.14378,1980.17,mixed,0.014526403,0.05
bivariate_bicycle,36,18,1296,0.290159814,50000,7323,0.14646,1945.827,mixed,0.014507991,0.05
bivariate_bicycle,36,18,1296,0.290046387,50000,5105,0.1021,2653.202,mixed,0.014502319,0.05
bivariate_bicycle,36,18,1296,0.29004177,50000,4241,0.08482,2945.736,mixed,0.014502088,0.05
bivariate_bicycle,36,18,1296,0.290045826,50000,6987,0.13974,2180.322,mixed,0.014502291,0.05
bivariate_bicycle,36,18,1296,0.05,10000,7,0.0007,17.001,mixed,0.01,0.2
bivariate_bicycle,36,18,1296,0.07,10000,37,0.0037,20.614,mixed,0.014,0.2
bivariate_bicycle,36,18,1296,0.09,10000,49,0.0049,26.493,mixed,0.018,0.2
bivariate_bicycle,36,18,1296,0.11,10000,102,0.0102,37.393,mixed,0.022,0.2
bivariate_bicycle,36,18,1296,0.13,10000,139,0.0139,52.291,mixed,0.026,0.2
bivariate_bicycle,36,18,1296,0.15,10000,219,0.0219,81.408,mixed,0.03,0.2
bivariate_bicycle,36,18,1296,0.17,10000,393,0.0393,130.937,mixed,0.034,0.2
bivariate_bicycle,36,18,1296,0.19,10000,831,0.0831,203.097,mixed,0.038,0.2
bivariate_bicycle,36,18,1296,0.21,10000,2558,0.2558,307.565,mixed,0.042,0.2
bivariate_bicycle,36,18,1296,0.191957151,50000,4769,0.09538,1064.308,mixed,0.03839143,0.2
bivariate_bicycle,36,18,1296,0.192476774,50000,4852,0.09704,1079.168,mixed,0.038495355,0.2
bivariate_bicycle,36,18,1296,0.192803486,50000,6360,0.1272,1097.93,mixed,0.038560697,0.2
bivariate_bicycle,36,18,1296,0.192508839,50000,4622,0.09244,1079.398,mixed,0.038501768,0.2
bivariate_bicycle,36,18,1296,0.192572922,50000,4720,0.0944,1081.611,mixed,0.038514584,0.2
bivariate_bicycle,36,18,1296,0.192612287,50000,6292,0.12584,1103.202,mixed,0.038522457,0.2
