family,L,M,N,p,shots,fails,wer,seconds,channel_model,depolar_rate,delta_eps_ratio
bivariate_bicycle,36,18,1296,0.05,10000,0,0.0,15.572,mixed,0.005,0.1
bivariate_bicycle,36,18,1296,0.07,10000,8,0.0008,16.777,mixed,0.007,0.1
bivariate_bicycle,36,18,1296,0.09,10000,19,0.0019,19.682,mixed,0.009,0.1
bivariate_bicycle,36,18,1296,0.11,10000,36,0.0036,23.411,mixed,0.011,0.1
bivariate_bicycle,36,18,1296,0.13,10000,55,0.0055,29.119,mixed,0.013,0.1
bivariate_bicycle,36,18,1296,0.15,10000,64,0.0064,38.482,mixed,0.015,0.1
bivariate_bicycle,36,18,1296,0.17,10000,107,0.0107,52.514,mixed,0.017,0.1
bivariate_bicycle,36,18,1296,0.19,10000,187,0.0187,77.336,mixed,0.019,0.1
bivariate_bicycle,36,18,1296,0.21,10000,268,0.0268,119.708,mixed,0.021,0.1
bivariate_bicycle,36,18,1296,0.23,10000,658,0.0658,178.957,mixed,0.023,0.1
bivariate_bicycle,36,18,1296,0.25,10000,1212,0.1212,259.293,mixed,0.025,0.1
bivariate_bicycle,36,18,1296,0.24,50000,4917,0.09834,1160.739,mixed,0.024,0.1
bivariate_bicycle,36,18,1296,0.245,50000,4300,0.086,4071.69,mixed,0.0245,0.1
bivariate_bicycle,36,18,1296,0.2475,50000,7897,0.15794,1448.932,mixed,0.02475,0.1
bivariate_bicycle,36,18,1296,0.24625,50000,4510,0.0902,1774.892,mixed,0.024625,0.1
bivariate_bicycle,36,18,1296,0.246875,50000,4697,0.09394,2872.507,mixed,0.0246875,0.1
bivariate_bicycle,36,18,1296,0.2471875,50000,4764,0.09528,1179.08,mixed,0.02471875,0.1
bivariate_bicycle,36,18,1296,0.05,10000,22,0.0022,19.881,mixed,0.015,0.3
bivariate_bicycle,36,18,1296,0.07,10000,46,0.0046,25.88,mixed,0.021,0.3
bivariate_bicycle,36,18,1296,0.09,10000,93,0.0093,38.047,mixed,0.027,0.3
bivariate_bicycle,36,18,1296,0.11,10000,169,0.0169,59.124,mixed,0.033,0.3
bivariate_bicycle,36,18,1296,0.13,10000,277,0.0277,98.14,mixed,0.039,0.3
bivariate_bicycle,36,18,1296,0.15,10000,583,0.0583,168.082,mixed,0.045,0.3
bivariate_bicycle,36,18,1296,0.17,10000,1987,0.1987,270.098,mixed,0.051,0.3
bivariate_bicycle,36,18,1296,0.16,50000,7359,0.14718,21846.184,mixed,0.048,0.3
bivariate_bicycle,36,18,1296,0.155,50000,3770,0.0754,963.02,mixed,0.0465,0.3
