family,L,M,N,p,shots,fails,wer,seconds,channel_model,depolar_rate,delta_eps_ratio
bivariate_bicycle,18,9,324,0.05,10000,1,0.0001,1.92,mixed,0.005,0.1
bivariate_bicycle,18,9,324,0.07,10000,0,0.0,2.039,mixed,0.007,0.1
bivariate_bicycle,18,9,324,0.09,10000,1,0.0001,2.574,mixed,0.009,0.1
bivariate_bicycle,18,9,324,0.11,10000,3,0.0003,2.925,mixed,0.011,0.1
bivariate_bicycle,18,9,324,0.13,10000,6,0.0006,3.292,mixed,0.013,0.1
bivariate_bicycle,18,9,324,0.15,10000,16,0.0016,3.729,mixed,0.015,0.1
bivariate_bicycle,18,9,324,0.17,10000,38,0.0038,4.638,mixed,0.017,0.1
bivariate_bicycle,18,9,324,0.19,10000,139,0.0139,6.425,mixed,0.019,0.1
bivariate_bicycle,18,9,324,0.21,10000,533,0.0533,9.604,mixed,0.021,0.1
bivariate_bicycle,18,9,324,0.23,10000,1339,0.1339,14.467,mixed,0.023,0.1
bivariate_bicycle,18,9,324,0.21,50000,2814,0.05628,48.345,mixed,0.021,0.1
bivariate_bicycle,18,9,324,0.23,50000,6776,0.13552,72.273,mixed,0.023,0.1
bivariate_bicycle,18,9,324,0.22,50000,4481,0.08962,60.004,mixed,0.022,0.1
bivariate_bicycle,18,9,324,0.225,50000,5445,0.1089,67.083,mixed,0.0225,0.1
bivariate_bicycle,18,9,324,0.2225,50000,4885,0.0977,63.119,mixed,0.02225,0.1
bivariate_bicycle,18,9,324,0.22375,50000,5200,0.104,74.522,mixed,0.022375,0.1
bivariate_bicycle,18,9,324,0.223125,50000,5070,0.1014,79.04,mixed,0.0223125,0.1
bivariate_bicycle,18,9,324,0.2228125,50000,4479,0.08958,55.639,mixed,0.02228125,0.1
bivariate_bicycle,18,9,324,0.05,10000,4,0.0004,2.68,mixed,0.015,0.3
bivariate_bicycle,18,9,324,0.07,10000,8,0.0008,2.828,mixed,0.021,0.3
bivariate_bicycle,18,9,324,0.09,10000,26,0.0026,3.522,mixed,0.027,0.3
bivariate_bicycle,18,9,324,0.11,10000,70,0.007,4.738,mixed,0.033,0.3
bivariate_bicycle,18,9,324,0.13,10000,326,0.0326,7.957,mixed,0.039,0.3
bivariate_bicycle,18,9,324,0.15,10000,1128,0.1128,14.042,mixed,0.045,0.3
bivariate_bicycle,18,9,324,0.13,50000,1451,0.02902,39.357,mixed,0.039,0.3
bivariate_bicycle,18,9,324,0.15,50000,5635,0.1127,68.057,mixed,0.045,0.3
bivariate_bicycle,18,9,324,0.14,50000,3089,0.06178,52.307,mixed,0.042,0.3
bivariate_bicycle,18,9,324,0.145,50000,5164,0.10328,59.693,mixed,0.0435,0.3
bivariate_bicycle,18,9,324,0.1425,50000,5036,0.10072,56.08,mixed,0.04275,0.3
bivariate_bicycle,18,9,324,0.14125,50000,3294,0.06588,53.636,mixed,0.042375,0.3
bivariate_bicycle,18,9,324,0.141875,50000,4910,0.0982,55.53,mixed,0.0425625,0.3
bivariate_bicycle,18,9,324,0.1421875,50000,3377,0.06754,54.45,mixed,0.04265625,0.3
bivariate_bicycle,18,9,324,0.05,10000,10,0.001,2.984,mixed,0.025,0.5
bivariate_bicycle,18,9,324,0.07,10000,30,0.003,3.929,mixed,0.035,0.5
bivariate_bicycle,18,9,324,0.09,10000,178,0.0178,6.537,mixed,0.045,0.5
bivariate_bicycle,18,9,324,0.11,10000,1428,0.1428,13.177,mixed,0.055,0.5
