family,L,M,N,K,p,shots,fails,wer,seconds,channel_model,depolar_rate,delta_eps_ratio
bivariate_bicycle,12,6,144,,0.3,30000,148,0.004933333333333333,11.596498012542725,erasure_uniform,0.0,0.0
bivariate_bicycle,12,6,144,,0.33,30000,627,0.0209,10.244301080703735,erasure_uniform,0.0,0.0
bivariate_bicycle,12,6,144,,0.36,30000,2013,0.0671,10.792346477508545,erasure_uniform,0.0,0.0
bivariate_bicycle,12,6,144,,0.39,30000,5682,0.1894,18.117258310317993,erasure_uniform,0.0,0.0
bivariate_bicycle,12,6,144,,0.36,200000,13742,0.06871,49.38469958305359,erasure_uniform,0.0,0.0
bivariate_bicycle,12,6,144,,0.39,200000,38032,0.19016,89.48707556724548,erasure_uniform,0.0,0.0
bivariate_bicycle,12,6,144,,0.375,200000,23613,0.118065,57.70699405670166,erasure_uniform,0.0,0.0
bivariate_bicycle,12,6,144,,0.3675,200000,18312,0.09156,47.95510196685791,erasure_uniform,0.0,0.0
bivariate_bicycle,12,6,144,,0.37125,200000,20797,0.103985,59.52021789550781,erasure_uniform,0.0,0.0
bivariate_bicycle,12,6,144,,0.369375,200000,19530,0.09765,58.134164571762085,erasure_uniform,0.0,0.0
bivariate_bicycle,12,6,144,,0.3703125,200000,20263,0.101315,57.63991975784302,erasure_uniform,0.0,0.0
bivariate_bicycle,12,6,144,,0.36984375,200000,19503,0.097515,58.24736142158508,erasure_uniform,0.0,0.0
bivariate_bicycle,12,6,144,,0.3,30000,17922,0.5974,14.079263925552368,mixed,0.03,0.1
bivariate_bicycle,12,6,144,,0.3,30000,29712,0.9904,18.748583793640137,mixed,0.09,0.3
bivariate_bicycle,12,6,144,,0.3,30000,29996,0.9998666666666667,15.137333154678345,mixed,0.15,0.5
bivariate_bicycle,12,6,144,,0.3,30000,30000,1.0,11.99079704284668,mixed,0.22499999999999998,0.75
bivariate_bicycle,12,6,144,,0.3,30000,30000,1.0,17.562489986419678,mixed,0.3,1.0
