family,L,M,N,p,shots,fails,wer,seconds,channel_model,depolar_rate,delta_eps_ratio
bivariate_bicycle,30,15,900,0.05,10000,0,0.0,8.716,mixed,0.005,0.1
bivariate_bicycle,30,15,900,0.07,10000,2,0.0002,11.368,mixed,0.007,0.1
bivariate_bicycle,30,15,900,0.09,10000,8,0.0008,795.413,mixed,0.009,0.1
bivariate_bicycle,30,15,900,0.11,10000,13,0.0013,13.388,mixed,0.011,0.1
bivariate_bicycle,30,15,900,0.13,10000,40,0.004,17.638,mixed,0.013,0.1
bivariate_bicycle,30,15,900,0.15,10000,46,0.0046,20.816,mixed,0.015,0.1
bivariate_bicycle,30,15,900,0.17,10000,63,0.0063,25.234,mixed,0.017,0.1
bivariate_bicycle,30,15,900,0.19,10000,106,0.0106,39.472,mixed,0.019,0.1
bivariate_bicycle,30,15,900,0.21,10000,217,0.0217,58.011,mixed,0.021,0.1
bivariate_bicycle,30,15,900,0.23,10000,632,0.0632,89.676,mixed,0.023,0.1
bivariate_bicycle,30,15,900,0.25,10000,1442,0.1442,133.802,mixed,0.025,0.1
bivariate_bicycle,30,15,900,0.23,50000,3078,0.06156,449.153,mixed,0.023,0.1
bivariate_bicycle,30,15,900,0.25,50000,7031,0.14062,686.437,mixed,0.025,0.1
bivariate_bicycle,30,15,900,0.24,50000,5195,0.1039,644.538,mixed,0.024,0.1
bivariate_bicycle,30,15,900,0.235,50000,4208,0.08416,454.95,mixed,0.0235,0.1
bivariate_bicycle,30,15,900,0.2375,50000,4497,0.08994,471.732,mixed,0.02375,0.1
bivariate_bicycle,30,15,900,0.23875,50000,5278,0.10556,19656.61,mixed,0.023875,0.1
bivariate_bicycle,30,15,900,0.238125,50000,4446,0.08892,483.693,mixed,0.0238125,0.1
bivariate_bicycle,30,15,900,0.2384375,50000,5119,0.10238,643.333,mixed,0.02384375,0.1
bivariate_bicycle,30,15,900,0.05,10000,8,0.0008,10.16,mixed,0.015,0.3
bivariate_bicycle,30,15,900,0.07,10000,22,0.0022,14.484,mixed,0.021,0.3
bivariate_bicycle,30,15,900,0.09,10000,54,0.0054,19.713,mixed,0.027,0.3
bivariate_bicycle,30,15,900,0.11,10000,115,0.0115,27.738,mixed,0.033,0.3
bivariate_bicycle,30,15,900,0.13,10000,169,0.0169,45.528,mixed,0.039,0.3
bivariate_bicycle,30,15,900,0.15,10000,502,0.0502,82.168,mixed,0.045,0.3
bivariate_bicycle,30,15,900,0.17,10000,1880,0.188,136.509,mixed,0.051,0.3
bivariate_bicycle,30,15,900,0.15,50000,2511,0.05022,408.516,mixed,0.045,0.3
bivariate_bicycle,30,15,900,0.17,50000,9610,0.1922,703.248,mixed,0.051,0.3
bivariate_bicycle,30,15,900,0.16,50000,7377,0.14754,544.646,mixed,0.048,0.3
bivariate_bicycle,30,15,900,0.155,50000,3795,0.0759,469.041,mixed,0.0465,0.3
bivariate_bicycle,30,15,900,0.1575,50000,4653,0.09306,501.052,mixed,0.04725,0.3
